"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"NVO","Novo Nordisk A/S ADRs","Health Care","US Equity","ADRs","Large cap","$260,652,723,120","1,565,762","Analyze"
"REGN","Regeneron Pharmaceuticals Inc","Health Care","US Equity","Common stocks","Large cap","$86,238,124,754","637,527","Analyze"
"VRTX","Vertex Pharmaceuticals Inc","Health Care","US Equity","Common stocks","Large cap","$78,348,616,645","1,110,826","Analyze"
"SGEN","Seattle Genetics Inc","Health Care","US Equity","Common stocks","Large cap","$37,002,973,603","1,468,401","Analyze"
"BNTX","BioNTech SE  ADRs","Health Care","US Equity","ADRs","Large cap","$31,469,610,717","637,153","Analyze"
"GMAB","Genmab A/S  ADRs","Health Care","US Equity","ADRs","Large cap","$24,326,628,122","525,408","Analyze"
"ALNY","Alnylam Pharmaceuticals Inc","Health Care","US Equity","Common stocks","Large cap","$23,645,711,904","855,165","Analyze"
"BGNE","BeiGene ADRs","Health Care","US Equity","ADRs","Large cap","$22,847,121,675","277,594","Analyze"
"ARGX","argenx SE ADRs","Health Care","US Equity","ADRs","Large cap","$19,961,795,705","325,555","Analyze"
"BMRN","Biomarin Pharmaceutical Inc","Health Care","US Equity","Common stocks","Large cap","$16,808,108,726","1,644,346","Analyze"
"INCY","Incyte Corp","Health Care","US Equity","Common stocks","Large cap","$16,111,452,201","1,478,734","Analyze"
"RPRX","Royalty Pharma plc - Class A","Health Care","US Equity","Common stocks","Large cap","$15,422,177,844","2,484,707","Analyze"
"TECH","Bio-Techne Corp","Health Care","US Equity","Common stocks","Large cap","$11,311,232,384","909,753","Analyze"
"SRPT","Sarepta Therapeutics Inc","Health Care","US Equity","Common stocks","Large cap","$11,295,114,396","2,491,445","Analyze"
"UTHR","United Therapeutics Corp","Health Care","US Equity","Common stocks","Large cap","$10,002,083,729","909,254","Analyze"
"NBIX","Neurocrine Biosciences Inc","Health Care","US Equity","Common stocks","Mid cap","$9,242,497,204","752,748","Analyze"
"JAZZ","Jazz Pharmaceuticals Plc","Health Care","US Equity","Common stocks","Mid cap","$8,704,905,054","713,988","Analyze"
"APLS","Apellis Pharmaceuticals","Health Care","US Equity","Common stocks","Mid cap","$7,035,797,991","1,929,468","Analyze"
"LEGN","Legend Biotech Corporation ADRs","Health Care","US Equity","ADRs","Mid cap","$6,763,595,835","600,670","Analyze"
"KRTX","Karuna Therapeutics, Inc.","Health Care","US Equity","Common stocks","Mid cap","$6,083,607,111","444,772","Analyze"
"ASND","Ascendis Pharma ADRs","Health Care","US Equity","ADRs","Mid cap","$6,028,995,600","212,727","Analyze"
"EXEL","Exelixis Inc","Health Care","US Equity","Common stocks","Mid cap","$5,940,520,887","4,200,049","Analyze"
"ROIV","Roivant Sciences Ltd.","Health Care","US Equity","Common stocks","Mid cap","$5,301,407,177","3,932,635","Analyze"
"RXDX","Prometheus Biosciences, Inc.","Health Care","US Equity","Common stocks","Mid cap","$5,084,320,149","551,584","Analyze"
"IONS","Ionis Pharmaceuticals Inc","Health Care","US Equity","Common stocks","Mid cap","$4,806,113,245","899,980","Analyze"
"HALO","Halozyme Therapeutics Inc","Health Care","US Equity","Common stocks","Mid cap","$4,559,155,912","2,586,399","Analyze"
"ITCI","Intra Cellular Therapies Inc","Health Care","US Equity","Common stocks","Mid cap","$4,372,399,338","800,578","Analyze"
"ALKS","Alkermes PLC","Health Care","US Equity","Common stocks","Mid cap","$4,233,019,917","1,274,236","Analyze"
"MDGL","Madrigal Pharmaceuticals Inc","Health Care","US Equity","Common stocks","Mid cap","$4,207,293,264","539,859","Analyze"
"CERT","Certara, Inc.","Health Care","US Equity","Common stocks","Mid cap","$3,728,136,808","1,384,125","Analyze"
"CERE","Cerevel Therapeutics Holdings, Inc.","Health Care","US Equity","Common stocks","Mid cap","$3,670,465,731","962,204","Analyze"
"PTCT","PTC Therapeutics Inc","Health Care","US Equity","Common stocks","Mid cap","$3,444,952,770","844,074","Analyze"
